asset_category,asset_subcategory,standardised_asset_type_name,asset_count,raw_asset_types,source_labels,contracts,assets_with_wkt_pct,assets_with_valid_au_coord_pct,assets_with_condition_pct,assets_with_criticality_pct,assets_with_risk_pct,assets_with_chainage_pct,assets_with_attributes_pct,assets_with_job_pct,assets_with_inspection_pct,assets_with_asset_photo_pct,chainage_length_km_proxy,job_count,inspection_count,capitalwork_count,attribute_rows,distinct_attribute_names,mapping_methods
Signs / Roadside Information,School Zone Signs,School Zone Static Sign,10458,SZ Static Sign,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.2%,4.4%,0.0%,0.0,26,458,0,83664,9,manual_asset_type_mapping_v5
Signs / Roadside Information,Sign Structures,Major Sign Structure,55,Major Sign Structure; Major Sign Structures,RAMC / BAC / PoB / TSRC group; VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA); Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Proposed Work Applications (PWA); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Toowoomba Second Range Crossing; Western Roads Upgrade (WRU)",100.0%,100.0%,20.0%,29.1%,0.0%,100.0%,100.0%,45.5%,67.3%,29.1%,0.0,189,374,28,2092,65,manual_asset_type_mapping_v5
Signs / Roadside Information,Static Signs,Minor Sign,60077,Minor Sign,RMS; RMS new; VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); SRAP-C; SRAP-C, SRAP-C OOC; Western Roads Upgrade (WRU)",100.0%,100.0%,38.6%,22.9%,0.0%,100.0%,100.0%,18.4%,0.0%,0.5%,0.0,28149,2,0,2186615,78,manual_asset_type_mapping_v5
Signs / Roadside Information,Static Signs,Sign,27448,Sign; Signage; Signs,RAMC / BAC / PoB / TSRC group; VNZ,Auckland West Transport; Brisbane Airport; Toowoomba Second Range Crossing,100.0%,100.0%,11.3%,0.0%,0.0%,91.2%,100.0%,1.8%,2.6%,0.1%,0.0,600,713,0,1114639,114,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Bridges,Bridge,868,Bridge; Bridges,RAMC / BAC / PoB / TSRC group; RMS; RMS new; VNZ,"Auckland West Transport; Port of Brisbane; SRAP-C; SRAP-C OOC; SRAP-C, SRAP-C OOC; Toowoomba Second Range Crossing",98.8%,98.8%,3.6%,0.0%,0.0%,86.6%,100.0%,42.7%,46.9%,0.0%,0.0,2027,1627,9,22158,150,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Bridges,Lift Bridge,2,Lift Bridges,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0,20,224,0,36,18,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Gantries,Gantry,1,Gantries,RAMC / BAC / PoB / TSRC group,Brisbane Airport,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0,1,0,0,0,0,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Structures / Components,Airside Major Structure,16,Major Structure Airside,RAMC / BAC / PoB / TSRC group,Brisbane Airport,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,6.2%,0.0%,0.0%,0.0,1,0,1,144,9,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Structures / Components,Art Structure,1,Art Structure,RMS,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,63,63,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Structures / Components,Landside Major Structure,51,Major Structure Landside,RAMC / BAC / PoB / TSRC group,Brisbane Airport,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,19.6%,0.0%,0.0%,0.0,22,0,6,459,9,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Structures / Components,Minor Structure,763,Minor Structures,VNZ,Auckland West Transport,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.1%,0.0%,0.0%,0.0,1,0,0,5341,7,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Structures / Components,Structural Component,2087,Structural Component,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.1%,0.0%,0.0%,0.0,2,0,0,56820,62,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Structures / Components,Structure,266,Structures,RAMC / BAC / PoB / TSRC group; VNS,Sydney Harbour Tunnel (SHT); Toowoomba Second Range Crossing,100.0%,100.0%,93.6%,15.8%,0.0%,0.4%,100.0%,19.2%,95.9%,0.4%,0.0,98,5794,10,20870,148,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Structures / Components,Structure Component,1893,Structure Components,VicRoads,Western Roads Upgrade (WRU),0.0%,0.0%,92.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,72407,39,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Structures / Components,Support Structure,1332,Support Structure,RMS; RMS new,"SRAP-C; SRAP-C, SRAP-C OOC",100.0%,100.0%,0.0%,0.0%,0.0%,98.3%,100.0%,32.7%,67.9%,38.3%,0.0,544,1958,0,83916,63,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Tunnels,Tunnel,1499,Tunnels,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,6.1%,79.7%,0.0%,0.0%,100.0%,4.3%,34.8%,0.0%,0.0,147,3494,6,107660,77,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Tunnels,Tunnel Structure,4,Tunnel Structure,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,50.0%,100.0%,0.0%,0.0,52,116,0,372,95,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Walls,Noise Wall,288,Noise Wall,RMS; RMS new; VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); SRAP-C; Western Roads Upgrade (WRU)",100.0%,100.0%,0.0%,0.0%,0.0%,9.7%,100.0%,51.7%,82.6%,0.7%,3.513,442,727,11,18563,112,manual_asset_type_mapping_v5
Structures / Bridges / Tunnels,Walls,Retaining Wall,869,Retaining Wall,RAMC / BAC / PoB / TSRC group; VNZ; VicRoads,"Auckland West Transport; Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA); Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Toowoomba Second Range Crossing; Western Roads Upgrade (WRU)",100.0%,100.0%,0.6%,0.6%,0.0%,100.0%,100.0%,3.7%,4.1%,2.3%,3.208,510,422,41,37040,138,manual_asset_type_mapping_v5
Third Party / Temporary / Other,Miscellaneous / Other,Miscellaneous,5,Miscellaneous,VentureSmart,VentureSmart,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,20,4,manual_asset_type_mapping_v5
Third Party / Temporary / Other,Miscellaneous / Other,Other Item,23,Other Items,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,65.2%,0.0%,0.0%,0.0%,100.0%,17.4%,65.2%,0.0%,0.0,7,348,0,1734,78,manual_asset_type_mapping_v5
Third Party / Temporary / Other,Sites / Stockpiles,Bid Site,1,Bid Site,VicRoads,Melton City Council,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0,1,1,0,0,0,manual_asset_type_mapping_v5
Third Party / Temporary / Other,Sites / Stockpiles,Stockpile Site,42,Stockpile Sites,RAMC / BAC / PoB / TSRC group,RAMC - Gen 2 - North,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,42.9%,0.0,0,0,0,630,15,manual_asset_type_mapping_v5
Third Party / Temporary / Other,Temporary Assets,Temporary Asset,82,Temporary Asset,RMS; RMS new,SRAP-C,100.0%,100.0%,7.3%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,7.3%,0.0,0,0,0,741,10,manual_asset_type_mapping_v5
Third Party / Temporary / Other,Third Party Works,Third Party Work - Consent,11,Third Party Works (Consents),VicRoads,Western Roads Upgrade (WRU),100.0%,100.0%,0.0%,9.1%,0.0%,100.0%,100.0%,18.2%,0.0%,9.1%,0.0,4,0,0,493,49,manual_asset_type_mapping_v5
Third Party / Temporary / Other,Third Party Works,Third Party Work - PWA,197,Third Party Works (PWAs),VicRoads,Western Roads Upgrade (WRU),100.0%,100.0%,0.0%,1.0%,0.0%,100.0%,100.0%,24.9%,36.0%,2.0%,0.0,183,134,0,5690,49,manual_asset_type_mapping_v5
Vegetation / Landscaping,Landscaping / Grass,Grass and Landscaping,3716,Grass & Landscaping,VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Western Roads Upgrade (WRU)",100.0%,100.0%,0.0%,50.2%,0.0%,100.0%,100.0%,35.6%,0.0%,0.0%,0.021,6040,0,0,54243,19,manual_asset_type_mapping_v5
Vegetation / Landscaping,Landscaping / Grass,Landscape Area,57,Landscape Areas,RAMC / BAC / PoB / TSRC group,Port of Brisbane,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,82.5%,0.0%,0.0%,0.0,48,0,0,341,6,manual_asset_type_mapping_v5
Vegetation / Landscaping,Landscaping / Grass,Landscaping,3775,Landscaping,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,3.9%,0.8%,0.0%,0.0,238,180,0,135121,37,manual_asset_type_mapping_v5
Vegetation / Landscaping,Landscaping / Grass,Landscaping Design Polygon,3745,Landscaping - Design Polygons,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.3%,0.0%,0.0%,0.0,13,0,0,71155,19,manual_asset_type_mapping_v5
Vegetation / Landscaping,Landscaping / Grass,Roadside Landscaping,100,Roadside Landscaping,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,16.0%,0.0%,0.0%,18.16,48,0,0,3100,32,manual_asset_type_mapping_v5
Vegetation / Landscaping,Trees,Tree,12763,Tree; Trees,RAMC / BAC / PoB / TSRC group; VNZ; VicRoads,"Auckland West Transport; Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Toowoomba Second Range Crossing; Western Roads Upgrade (WRU)",100.0%,100.0%,59.9%,57.9%,0.0%,100.0%,100.0%,9.1%,1.4%,0.3%,5404.819,1875,334,0,398387,90,manual_asset_type_mapping_v5
